"outcome","rung","method","estimand","n_reps","truth","est_med","bias","coverage","mcse_cov","mean_width","se_ratio"
"binary","L1_param","Fully-Aware","RD",800,0.2092,0.2267,0.0181,0.94,0.0084,0.1806,1.0297
"binary","L1_param","Fully-Aware-CF","RD",800,0.2092,0.2279,0.0192,0.9438,0.0081,0.1883,1.0445
"binary","L1_param","Non-Aware","RD",800,0.2092,0.2401,0.0309,0.6412,0.017,0.0963,0.6268
"binary","L1_param","Partially-Aware","RD",800,0.2092,0.2267,0.0181,0.9162,0.0098,0.1589,0.9273
"binary","L2_smooth","Fully-Aware","RD",800,0.2092,0.2181,0.0098,0.9388,0.0085,0.1769,1.0035
"binary","L2_smooth","Fully-Aware-CF","RD",800,0.2092,0.2197,0.0123,0.9462,0.008,0.1905,1.0642
"binary","L2_smooth","Fully-Aware-CV","RD",800,0.2092,0.2162,0.0078,0.94,0.0084,0.1791,1.0082
"binary","L2_smooth","Non-Aware","RD",800,0.2092,0.2338,0.025,0.6888,0.0164,0.0954,0.6231
"binary","L2_smooth","Partially-Aware","RD",800,0.2092,0.2181,0.0098,0.9238,0.0094,0.1559,0.9054
"continuous","L1_param","Fully-Aware","RD",800,1.5,1.6479,0.1455,0.8725,0.0118,0.771,0.9875
"continuous","L1_param","Fully-Aware-CF","RD",800,1.5,1.6644,0.1596,0.8775,0.0116,0.8331,1.015
"continuous","L1_param","Non-Aware","RD",800,1.5,1.5969,0.095,0.5788,0.0175,0.3535,0.4487
"continuous","L1_param","Partially-Aware","RD",800,1.5,1.6479,0.1455,0.7738,0.0148,0.6103,0.8005
"continuous","L2_smooth","Fully-Aware","RD",800,1.5,1.5735,0.0658,0.9238,0.0094,0.7519,0.9575
"continuous","L2_smooth","Fully-Aware-CF","RD",800,1.5,1.5858,0.0807,0.935,0.0087,0.8285,1.0113
"continuous","L2_smooth","Fully-Aware-CV","RD",800,1.5,1.5695,0.0599,0.9275,0.0092,0.7544,0.9757
"continuous","L2_smooth","Non-Aware","RD",800,1.5,1.5265,0.0285,0.6062,0.0173,0.3399,0.4298
"continuous","L2_smooth","Partially-Aware","RD",800,1.5,1.5735,0.0658,0.8413,0.0129,0.5901,0.7695
