"scenario","model_type","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
"R1","complex","L1_param","Fully-Aware",1000,0.21,0.0179,0.0345,0.0347,1.0068,0.933,0.0079,1.1812,0.0249
"R1","complex","L1_param","Fully-Aware-CF",1000,0.21,0.0208,0.0356,0.0356,1.0014,0.912,0.009,1.1812,0.0249
"R1","complex","L1_param","Partially-Aware",1000,0.21,0.0179,0.0345,0.0322,0.9336,0.9,0.0095,1.1812,0.0249
"R1","complex","L1_param","Non-Aware",1000,0.21,0.0441,0.0277,0.021,0.7571,0.459,0.0158,1.1812,0.0249
"R1","simple","L1_param","Fully-Aware",1000,0.21,-0.0029,0.0335,0.0339,1.0124,0.954,0.0066,1.1791,0.0255
"R1","simple","L1_param","Fully-Aware-CF",1000,0.21,-0.0021,0.0346,0.035,1.0117,0.954,0.0066,1.1791,0.0255
"R1","simple","L1_param","Partially-Aware",1000,0.21,-0.0029,0.0335,0.0315,0.9395,0.934,0.0079,1.1791,0.0255
"R1","simple","L1_param","Non-Aware",1000,0.21,0.0269,0.0276,0.0207,0.7504,0.689,0.0146,1.1791,0.0255
"R1","simple","L2_smooth","Fully-Aware",1000,0.21,-0.0028,0.0336,0.0336,1.0011,0.947,0.0071,1.1804,0.0252
"R1","simple","L2_smooth","Fully-Aware-CF",1000,0.21,-0.0027,0.035,0.0352,1.0073,0.955,0.0066,1.1804,0.0252
"R1","simple","L2_smooth","Fully-Aware-CV",1000,0.21,-0.0026,0.0334,0.0333,0.9981,0.948,0.007,1.1804,0.0252
"R1","simple","L2_smooth","Partially-Aware",1000,0.21,-0.0028,0.0336,0.0312,0.9284,0.926,0.0083,1.1804,0.0252
"R1","simple","L2_smooth","Non-Aware",1000,0.21,0.0269,0.0276,0.0207,0.7487,0.69,0.0146,1.1804,0.0252
"standard","complex","L1_param","Fully-Aware",1000,0.2092,0.0183,0.0436,0.0449,1.0301,0.936,0.0077,1.2468,0.0338
"standard","complex","L1_param","Fully-Aware-CF",1000,0.2092,0.0195,0.0443,0.0468,1.0552,0.943,0.0073,1.2468,0.0338
"standard","complex","L1_param","Partially-Aware",1000,0.2092,0.0183,0.0436,0.0405,0.9293,0.916,0.0088,1.2468,0.0338
"standard","complex","L1_param","Non-Aware",1000,0.2092,0.0312,0.0393,0.0245,0.6244,0.638,0.0152,1.2468,0.0338
"standard","simple","L1_param","Fully-Aware",1000,0.2092,-0.0027,0.0425,0.044,1.0333,0.952,0.0068,1.2451,0.0347
"standard","simple","L1_param","Fully-Aware-CF",1000,0.2092,-0.0039,0.0438,0.0465,1.0637,0.958,0.0063,1.2451,0.0347
"standard","simple","L1_param","Partially-Aware",1000,0.2092,-0.0027,0.0425,0.0397,0.9331,0.924,0.0084,1.2451,0.0347
"standard","simple","L1_param","Non-Aware",1000,0.2092,0.0124,0.0388,0.0242,0.6241,0.753,0.0136,1.2451,0.0347
"standard","simple","L2_smooth","Fully-Aware",999,0.2092,-0.0024,0.0425,0.0434,1.0213,0.9469,0.0071,1.2418,0.0338
"standard","simple","L2_smooth","Fully-Aware-CF",999,0.2092,-0.0035,0.0434,0.0465,1.0726,0.962,0.0061,1.2418,0.0338
"standard","simple","L2_smooth","Fully-Aware-CV",999,0.2092,-0.002,0.0428,0.0443,1.036,0.953,0.0067,1.2418,0.0338
"standard","simple","L2_smooth","Partially-Aware",999,0.2092,-0.0024,0.0425,0.0392,0.9236,0.9259,0.0083,1.2418,0.0338
"standard","simple","L2_smooth","Non-Aware",999,0.2092,0.0124,0.0388,0.0242,0.6229,0.7508,0.0137,1.2418,0.0338
