"rho","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif","w_cv","df_design"
0,"L2_smooth","Fully-Aware-CF-unwt",997,0.2092,0.0136,0.0345,0.0351,1.0183,0.9448,0.0072,1.8103,0.0352,0.3149,50
0,"L2_smooth","Fully-Aware-CF-wt",997,0.2092,0.0119,0.0346,0.0355,1.0256,0.9488,0.007,1.8103,0.0352,0.3149,50
0.3,"L2_smooth","Fully-Aware-CF-unwt",1000,0.2092,0.0118,0.0328,0.0331,1.0106,0.943,0.0073,1.8152,0.0368,0.377,50
0.3,"L2_smooth","Fully-Aware-CF-wt",1000,0.2092,0.0119,0.0329,0.034,1.0339,0.95,0.0069,1.8152,0.0368,0.377,50
0.6,"L2_smooth","Fully-Aware-CF-unwt",1000,0.2092,0.0102,0.0357,0.0336,0.9394,0.919,0.0086,1.8112,0.0372,0.5535,50
0.6,"L2_smooth","Fully-Aware-CF-wt",1000,0.2092,0.0114,0.0364,0.0346,0.9514,0.928,0.0082,1.8112,0.0372,0.5535,50
0.9,"L2_smooth","Fully-Aware-CF-unwt",1000,0.2092,0.0074,0.0397,0.0362,0.9103,0.928,0.0082,1.7987,0.0387,0.809,50
0.9,"L2_smooth","Fully-Aware-CF-wt",1000,0.2092,0.0095,0.0413,0.0369,0.8946,0.919,0.0086,1.7987,0.0387,0.809,50
0,"L3_adaptive","Fully-Aware-CF-unwt",1000,0.2092,0.0123,0.0346,0.035,1.0136,0.941,0.0075,1.8112,0.0353,0.315,50
0,"L3_adaptive","Fully-Aware-CF-wt",1000,0.2092,0.0102,0.0347,0.0354,1.0184,0.944,0.0073,1.8112,0.0353,0.315,50
0.3,"L3_adaptive","Fully-Aware-CF-unwt",1000,0.2092,0.011,0.0329,0.033,1.0039,0.938,0.0076,1.8086,0.0367,0.377,50
0.3,"L3_adaptive","Fully-Aware-CF-wt",1000,0.2092,0.0109,0.0329,0.0339,1.0298,0.945,0.0072,1.8086,0.0367,0.377,50
0.6,"L3_adaptive","Fully-Aware-CF-unwt",1000,0.2092,0.009,0.0354,0.0336,0.9486,0.929,0.0081,1.8087,0.0374,0.5535,50
0.6,"L3_adaptive","Fully-Aware-CF-wt",1000,0.2092,0.0102,0.0361,0.0345,0.9562,0.932,0.008,1.8087,0.0374,0.5535,50
0.9,"L3_adaptive","Fully-Aware-CF-unwt",1000,0.2092,0.0059,0.0392,0.0362,0.9218,0.929,0.0081,1.7968,0.0387,0.809,50
0.9,"L3_adaptive","Fully-Aware-CF-wt",1000,0.2092,0.0082,0.0405,0.0369,0.9113,0.928,0.0082,1.7968,0.0387,0.809,50
