"kind","scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","mean_ci_width","ci_width_ratio_vs_CF","mean_se_taylor","mean_se_jack","jk_lin_ratio","se_ratio_taylor","se_ratio_jack","coverage_taylor","coverage_jack"
"jack","R1","L1_param","Fully-Aware",500,0.21,0.0188,0.0343,NA,NA,NA,0.0114,NA,NA,0.0348,0.0348,1,1.0162,1.0162,0.93,0.93
"jack","R1","L1_param","Fully-Aware-CF",500,0.21,0.0218,0.0355,NA,NA,NA,0.012,NA,NA,0.0359,0.0358,1.0005,1.0099,1.0082,0.922,0.914
"jack","R1","L3_adaptive","Fully-Aware",500,0.21,0.0116,0.0351,NA,NA,NA,0.0135,NA,NA,0.0307,0.0307,1,0.8745,0.8745,0.898,0.898
"jack","R1","L3_adaptive","Fully-Aware-CF",500,0.21,0.0159,0.0356,NA,NA,NA,0.0114,NA,NA,0.0358,0.0359,1.0038,1.0059,1.0072,0.93,0.94
"jack","standard","L1_param","Fully-Aware",500,0.2092,0.0184,0.0443,NA,NA,NA,0.0111,NA,NA,0.045,0.045,1,1.0158,1.0158,0.934,0.934
"jack","standard","L1_param","Fully-Aware-CF",500,0.2092,0.0195,0.0459,NA,NA,NA,0.0111,NA,NA,0.047,0.0471,1.0031,1.0253,1.027,0.934,0.938
"jack","standard","L3_adaptive","Fully-Aware",500,0.2092,0.011,0.0445,NA,NA,NA,0.0137,NA,NA,0.0391,0.0391,1,0.8777,0.8777,0.896,0.896
"jack","standard","L3_adaptive","Fully-Aware-CF",500,0.2092,0.0113,0.0448,NA,NA,NA,0.0105,NA,NA,0.047,0.0471,1.0033,1.0502,1.0523,0.942,0.94
"taylor","R1","L1_param","Fully-Aware",500,0.21,0.0188,0.0343,0.0348,1.0162,0.93,0.0114,0.1399,0.9706,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L1_param","Fully-Aware-CF",500,0.21,0.0218,0.0355,0.0359,1.0099,0.922,0.012,0.1442,1,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L1_param","Partially-Aware",500,0.21,0.0188,0.0343,0.0321,0.9361,0.892,0.0139,0.1259,0.8729,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L1_param","Non-Aware",500,0.21,0.0446,0.0282,0.021,0.7432,0.448,0.0222,0.0822,0.5701,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L1_param","IPW-svyglm",500,0.21,0.0187,0.034,0.0345,1.0152,0.928,0.0116,0.1386,0.961,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L3_adaptive","Fully-Aware",500,0.21,0.0116,0.0351,0.0307,0.8745,0.898,0.0135,0.1234,0.8573,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L3_adaptive","Fully-Aware-CF",500,0.21,0.0159,0.0356,0.0358,1.0059,0.93,0.0114,0.1439,1,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L3_adaptive","Fully-Aware-CV",500,0.21,0.0097,0.0343,0.0279,0.8138,0.882,0.0144,0.112,0.7785,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L3_adaptive","Partially-Aware",500,0.21,0.0116,0.0351,0.028,0.7988,0.868,0.0151,0.11,0.7646,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L3_adaptive","Non-Aware",500,0.21,0.039,0.0281,0.0195,0.6924,0.478,0.0223,0.0763,0.5304,NA,NA,NA,NA,NA,NA,NA
"taylor","R1","L3_adaptive","IPW-svyglm",500,0.21,0.0187,0.034,0.0345,1.0152,0.928,0.0116,0.1386,0.963,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L1_param","Fully-Aware",500,0.2092,0.0184,0.0443,0.045,1.0158,0.934,0.0111,0.1808,0.9572,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L1_param","Fully-Aware-CF",500,0.2092,0.0195,0.0459,0.047,1.0253,0.934,0.0111,0.1888,1,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L1_param","Partially-Aware",500,0.2092,0.0184,0.0443,0.0406,0.9159,0.912,0.0127,0.1592,0.8428,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L1_param","Non-Aware",500,0.2092,0.0307,0.04,0.0246,0.6139,0.626,0.0216,0.0964,0.5105,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L1_param","IPW-svyglm",500,0.2092,0.0181,0.044,0.0443,1.0079,0.934,0.0111,0.178,0.9425,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L3_adaptive","Fully-Aware",500,0.2092,0.011,0.0445,0.0391,0.8777,0.896,0.0137,0.1569,0.8304,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L3_adaptive","Fully-Aware-CF",500,0.2092,0.0113,0.0448,0.047,1.0502,0.942,0.0105,0.189,1,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L3_adaptive","Fully-Aware-CV",500,0.2092,0.0077,0.0478,0.0343,0.7171,0.852,0.0159,0.1377,0.7287,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L3_adaptive","Partially-Aware",500,0.2092,0.011,0.0445,0.0349,0.7833,0.838,0.0165,0.1368,0.7237,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L3_adaptive","Non-Aware",500,0.2092,0.025,0.0398,0.0227,0.5711,0.64,0.0215,0.0891,0.4716,NA,NA,NA,NA,NA,NA,NA
"taylor","standard","L3_adaptive","IPW-svyglm",500,0.2092,0.0181,0.044,0.0443,1.0079,0.934,0.0111,0.178,0.9419,NA,NA,NA,NA,NA,NA,NA
