"scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","deff_clust","icc_eif"
"DesignC","L1_param","Fully-Aware",1000,0.1791,0.02021,0.0508056419431273,0.05184,1.02035911795053,0.929,2.64055,0.13041
"DesignC","L1_param","Fully-Aware-CF",1000,0.1791,0.02113,0.0540641176642958,0.05608,1.03728688125869,0.933,2.64055,0.13041
"DesignC","L1_param","Partially-Aware",1000,0.1791,0.02021,0.0508056419431273,0.0323,0.635756163383531,0.765,2.64055,0.13041
"DesignC","L1_param","Non-Aware",1000,0.1791,0.01845,0.0675373737782041,0.01712,0.25348927626684,0.362,2.64055,0.13041
"DesignC","L3_adaptive","Fully-Aware",1000,0.1791,0.01439,0.0512865475535248,0.0463,0.90277084749523,0.91,2.81289,0.13059
"DesignC","L3_adaptive","Fully-Aware-CF",1000,0.1791,0.01429,0.0540219184004758,0.05624,1.04105891951265,0.948,2.81289,0.13059
"DesignC","L3_adaptive","Fully-Aware-CV",1000,0.1791,0.01377,0.0511419156420204,0.04335,0.847641302751314,0.89,2.81289,0.13059
"DesignC","L3_adaptive","Partially-Aware",1000,0.1791,0.01439,0.0512865475535248,0.02808,0.547511995629937,0.71,2.81289,0.13059
"DesignC","L3_adaptive","Non-Aware",1000,0.1791,0.01324,0.0672743218053841,0.01599,0.237683555491752,0.35,2.81289,0.13059
"DesignC","L4_aggressive","Fully-Aware",1000,0.1791,0.07745,0.158245586559833,0.03002,0.189705132715656,0.281,3.39908,0.14007
"DesignC","L4_aggressive","Fully-Aware-CF",1000,0.1791,0.00887,0.0553987763802092,0.07264,1.31122029666255,0.98,3.39908,0.14007
"DesignC","L4_aggressive","Partially-Aware",1000,0.1791,0.07745,0.158245586559833,0.01654,0.104521082448932,0.126,3.39908,0.14007
"DesignC","L4_aggressive","Non-Aware",1000,0.1791,0.05433,0.0654301742141781,0.00991,0.151459171842654,0.182,3.39908,0.14007
