"scenario","rung","base_m","estimator","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
"R1","L6_deployable",NA,"TMLE","Fully-Aware",1000,0.21,0.0105,0.0347,0.0303,0.8747,0.898,0.0096,1.1981,0.0223
"R1","L6_deployable",NA,"TMLE","Fully-Aware-CV",1000,0.21,0.0093,0.034,0.0281,0.8261,0.887,0.01,1.1981,0.0223
"R1","L6_deployable",NA,"TMLE","Fully-Aware-CF",1000,0.21,0.015,0.0357,0.0355,0.9928,0.935,0.0078,1.1981,0.0223
"R1","L6_deployable",NA,"AIPW","AIPW-SF",1000,0.21,0.0088,0.0321,0.0282,0.8791,0.905,0.0093,1.1981,0.0223
"R1","L6_deployable",NA,"AIPW","AIPW-CV",1000,0.21,0.0094,0.0321,0.0284,0.8856,0.908,0.0091,1.1981,0.0223
"R1","L6_deployable",NA,"AIPW","AIPW-CF",1000,0.21,0.015,0.0362,0.0357,0.9847,0.94,0.0075,1.1981,0.0223
"R1","L6_deployable",NA,"TMLE","Non-Aware",1000,0.21,0.0383,0.0277,0.0196,0.7086,0.506,0.0158,1.1981,0.0223
"R1","L6_deployable",NA,"TMLE","Partially-Aware",1000,0.21,0.0105,0.0347,0.0279,0.8057,0.873,0.0105,1.1981,0.0223
"R1","L7_hal",NA,"TMLE","Fully-Aware",1000,0.21,0.0113,0.0344,0.0303,0.8816,0.905,0.0093,1.1988,0.0223
"R1","L7_hal",NA,"TMLE","Fully-Aware-CV",1000,0.21,0.0105,0.0341,0.0281,0.8241,0.879,0.0103,1.1988,0.0223
"R1","L7_hal",NA,"TMLE","Fully-Aware-CF",1000,0.21,0.0144,0.0357,0.0352,0.9868,0.934,0.0079,1.1988,0.0223
"R1","L7_hal",NA,"AIPW","AIPW-SF",1000,0.21,0.0087,0.0321,0.0283,0.8811,0.909,0.0091,1.1988,0.0223
"R1","L7_hal",NA,"AIPW","AIPW-CV",1000,0.21,0.0091,0.0322,0.0284,0.8823,0.908,0.0091,1.1988,0.0223
"R1","L7_hal",NA,"AIPW","AIPW-CF",1000,0.21,0.0153,0.0359,0.0356,0.9903,0.934,0.0079,1.1988,0.0223
"R1","L7_hal",NA,"TMLE","Non-Aware",1000,0.21,0.0386,0.0277,0.0196,0.7078,0.493,0.0158,1.1988,0.0223
"R1","L7_hal",NA,"TMLE","Partially-Aware",1000,0.21,0.0113,0.0344,0.0279,0.8118,0.871,0.0106,1.1988,0.0223
"standard","L6_deployable",NA,"TMLE","Fully-Aware",1000,0.2092,0.0114,0.0437,0.0388,0.8884,0.895,0.0097,1.283,0.031
"standard","L6_deployable",NA,"TMLE","Fully-Aware-CV",1000,0.2092,0.0098,0.044,0.0357,0.8107,0.875,0.0105,1.283,0.031
"standard","L6_deployable",NA,"TMLE","Fully-Aware-CF",1000,0.2092,0.0116,0.0439,0.0466,1.0604,0.95,0.0069,1.283,0.031
"standard","L6_deployable",NA,"AIPW","AIPW-SF",1000,0.2092,0.0076,0.0411,0.0357,0.8702,0.901,0.0094,1.283,0.031
"standard","L6_deployable",NA,"AIPW","AIPW-CV",1000,0.2092,0.0084,0.0414,0.036,0.8706,0.897,0.0096,1.283,0.031
"standard","L6_deployable",NA,"AIPW","AIPW-CF",1000,0.2092,0.0127,0.0461,0.0469,1.0171,0.943,0.0073,1.283,0.031
"standard","L6_deployable",NA,"TMLE","Non-Aware",1000,0.2092,0.0253,0.0391,0.0228,0.5837,0.659,0.015,1.283,0.031
"standard","L6_deployable",NA,"TMLE","Partially-Aware",1000,0.2092,0.0114,0.0437,0.0346,0.7916,0.856,0.0111,1.283,0.031
"standard","L7_hal",NA,"TMLE","Fully-Aware",1000,0.2092,0.0121,0.0437,0.0388,0.8887,0.897,0.0096,1.2828,0.0309
"standard","L7_hal",NA,"TMLE","Fully-Aware-CV",1000,0.2092,0.0105,0.0444,0.0357,0.8043,0.872,0.0106,1.2828,0.0309
"standard","L7_hal",NA,"TMLE","Fully-Aware-CF",1000,0.2092,0.0115,0.0442,0.0463,1.0479,0.946,0.0071,1.2828,0.0309
"standard","L7_hal",NA,"AIPW","AIPW-SF",1000,0.2092,0.0073,0.041,0.0358,0.8736,0.896,0.0097,1.2828,0.0309
"standard","L7_hal",NA,"AIPW","AIPW-CV",1000,0.2092,0.008,0.041,0.036,0.876,0.898,0.0096,1.2828,0.0309
"standard","L7_hal",NA,"AIPW","AIPW-CF",1000,0.2092,0.0127,0.0457,0.0469,1.0262,0.947,0.0071,1.2828,0.0309
"standard","L7_hal",NA,"TMLE","Non-Aware",1000,0.2092,0.0255,0.0391,0.0228,0.5831,0.657,0.015,1.2828,0.0309
"standard","L7_hal",NA,"TMLE","Partially-Aware",1000,0.2092,0.0121,0.0437,0.0346,0.7922,0.858,0.011,1.2828,0.0309
