"scenario","rung","estimator","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
"R1","L2_smooth","AIPW","AIPW-CV",1000,0.21,0.0105,0.0339,0.0336,0.9924,0.945,0.0072,1.1838,0.0253
"standard","L2_smooth","AIPW","AIPW-CV",1000,0.2092,0.0108,0.0429,0.0432,1.006,0.942,0.0074,1.2518,0.0332
"R1","L3_adaptive","AIPW","AIPW-CV",1000,0.21,0.01,0.0319,0.0282,0.8829,0.901,0.0094,1.2098,0.0206
"standard","L3_adaptive","AIPW","AIPW-CV",1000,0.2092,0.0089,0.041,0.0358,0.8732,0.898,0.0096,1.3014,0.0293
"R1","L5_nondonsker","AIPW","AIPW-SF",1000,0.21,0.0102,0.0326,0.029,0.89,0.908,0.0091,1.2065,0.0213
"R1","L5_nondonsker","AIPW","AIPW-CV",1000,0.21,0.0108,0.0327,0.029,0.8879,0.905,0.0093,1.2065,0.0213
"R1","L5_nondonsker","AIPW","AIPW-CF",1000,0.21,0.015,0.0366,0.036,0.9822,0.94,0.0075,1.2065,0.0213
"standard","L5_nondonsker","AIPW","AIPW-SF",1000,0.2092,0.0093,0.0416,0.0368,0.8831,0.897,0.0096,1.2931,0.0299
"standard","L5_nondonsker","AIPW","AIPW-CV",1000,0.2092,0.01,0.0417,0.0368,0.8819,0.899,0.0095,1.2931,0.0299
"standard","L5_nondonsker","AIPW","AIPW-CF",1000,0.2092,0.0127,0.0453,0.0472,1.0425,0.949,0.007,1.2931,0.0299
