estimator,V,refits,point_wall_s,point_cpu_s,cores,design_se_s,total_s
Non-Aware (unweighted single-fit),1,1,193.7,193.7,1,0.00,193.7
Partially-Aware (weighted point),1,1,112.0,112.0,1,0.11,112.1
Fully-Aware (weighted single-fit),1,1,112.0,112.0,1,0.11,112.1
Fully-Aware-CV (internal cross-validation),5,5,30.9,30.9,1,0.11,31.0
"Fully-Aware-CF (primary, cross-fit)",5,5,33.8,33.8,1,0.11,33.9
"AIPW, single-fit",1,1,30.6,30.6,1,0.11,30.7
"AIPW, cross-fit",5,5,34.6,34.6,1,0.11,34.7
Risk ratio / odds ratio,5,0,0.13,0.13,1,NA,0.13
Continuous outcome (Gaussian),5,5,81.8,81.8,1,0.11,82.0
Deployable Super Learner (cross-fit),5,5,128.1,128.1,1,0.11,128.2
